tag id,prediction,confidence,actual,correct
122921383,Positive,0.78,positive,True
122921385,Negative,0.635,negative,True
122921385,Negative,0.645,negative,True
122921385,Negative,0.639,negative,True
122921385,Negative,0.523,negative,True
122921385,Negative,0.51,negative,True
122921383,Positive,0.909,positive,True
122921385,Negative,0.834,negative,True
122921384,Neutral,0.622,negative,False
122921383,Positive,0.513,neutral,False
122921385,Negative,0.656,negative,True
122921383,Positive,0.499,negative,False
122921384,Neutral,0.84,negative,False
122921383,Positive,0.512,positive,True
122921384,Neutral,0.635,negative,False
122921384,Neutral,0.571,negative,False
122921385,Negative,0.683,negative,True
122921384,Neutral,0.88,negative,False
122921385,Negative,0.803,negative,True
122921384,Neutral,0.559,neutral,True
122921383,Positive,0.553,positive,True
122921384,Neutral,0.617,neutral,True
122921384,Neutral,0.886,neutral,True
122921384,Neutral,0.622,negative,False
122921383,Positive,0.939,positive,True
122921385,Negative,0.502,negative,True
122921384,Neutral,0.693,positive,False
122921384,Neutral,0.77,neutral,True
122921384,Neutral,0.919,neutral,True
122921385,Negative,0.77,negative,True
122921384,Neutral,0.453,positive,False
122921383,Positive,0.611,negative,False
122921383,Positive,0.932,negative,False
122921384,Neutral,0.556,neutral,True
122921383,Positive,0.458,positive,True
122921385,Negative,0.681,negative,True
122921385,Negative,0.884,negative,True
122921384,Neutral,0.474,negative,False
122921385,Negative,0.883,negative,True
122921384,Neutral,0.634,neutral,True
122921385,Negative,0.926,negative,True
122921385,Negative,0.655,negative,True
122921385,Negative,0.529,negative,True
122921384,Neutral,0.491,neutral,True
122921383,Positive,0.534,negative,False
122921385,Negative,0.982,negative,True
122921385,Negative,0.825,negative,True
122921384,Neutral,0.577,negative,False
122921385,Negative,0.557,negative,True
122921384,Neutral,0.697,neutral,True
122921385,Negative,0.894,negative,True
122921384,Neutral,0.479,negative,False
122921385,Negative,0.969,negative,True
122921385,Negative,0.965,negative,True
122921384,Neutral,0.751,negative,False
122921385,Negative,0.93,negative,True
122921385,Negative,0.89,negative,True
122921384,Neutral,0.509,negative,False
122921385,Negative,0.984,negative,True
122921385,Negative,0.949,negative,True
122921385,Negative,0.476,negative,True
122921385,Negative,0.733,negative,True
122921384,Neutral,0.822,neutral,True
122921384,Neutral,0.6,negative,False
122921385,Negative,0.956,negative,True
122921385,Negative,0.87,negative,True
122921384,Neutral,0.858,negative,False
122921383,Positive,0.635,positive,True
122921384,Neutral,0.645,neutral,True
122921383,Positive,0.741,neutral,False
122921384,Neutral,0.65,positive,False
122921384,Neutral,0.533,positive,False
122921385,Negative,0.786,negative,True
122921385,Negative,0.809,negative,True
122921385,Negative,0.748,negative,True
122921384,Neutral,0.805,neutral,True
122921385,Negative,0.958,negative,True
122921385,Negative,0.971,negative,True
122921384,Neutral,0.599,neutral,True
122921384,Neutral,0.88,neutral,True
122921384,Neutral,0.581,negative,False
122921383,Positive,0.601,positive,True
122921385,Negative,0.758,negative,True
122921384,Neutral,0.728,neutral,True
122921384,Neutral,0.493,neutral,True
122921385,Negative,0.931,negative,True
122921384,Neutral,0.698,negative,False
122921385,Negative,0.787,negative,True
122921384,Neutral,0.627,neutral,True
122921384,Neutral,0.407,positive,False
122921383,Positive,0.891,positive,True
122921385,Negative,0.591,neutral,False
122921385,Negative,0.999,negative,True
122921385,Negative,0.695,neutral,False
122921384,Neutral,0.664,negative,False
122921385,Negative,0.633,negative,True
122921383,Positive,0.624,neutral,False
122921383,Positive,0.575,negative,False
122921385,Negative,0.903,negative,True
122921384,Neutral,0.434,neutral,True
122921385,Negative,0.861,negative,True
122921384,Neutral,0.413,positive,False
122921383,Positive,0.899,positive,True
122921385,Negative,0.82,negative,True
122921385,Negative,0.726,negative,True
122921384,Neutral,0.509,neutral,True
122921385,Negative,0.73,neutral,False
122921385,Negative,0.836,negative,True
122921384,Neutral,0.656,neutral,True
122921384,Neutral,0.569,negative,False
122921385,Negative,0.732,negative,True
122921384,Neutral,0.61,positive,False
122921384,Neutral,0.523,negative,False
122921384,Neutral,0.522,positive,False
122921385,Negative,0.52,negative,True
122921385,Negative,0.924,negative,True
122921383,Positive,0.594,positive,True
122921385,Negative,0.8,negative,True
122921384,Neutral,0.647,negative,False
122921384,Neutral,0.608,positive,False
122921384,Neutral,0.531,negative,False
122921384,Neutral,0.551,negative,False
122921385,Negative,0.99,negative,True
122921384,Neutral,0.438,neutral,True
122921385,Negative,0.539,positive,False
122921385,Negative,0.435,negative,True
122921384,Neutral,0.65,negative,False
122921384,Neutral,0.5,negative,False
122921384,Neutral,0.622,negative,False
122921385,Negative,0.992,negative,True
122921385,Negative,0.956,negative,True
122921385,Negative,0.956,negative,True
122921385,Negative,0.8,negative,True
122921384,Neutral,0.812,neutral,True
122921384,Neutral,0.488,negative,False
122921385,Negative,0.434,positive,False
122921385,Negative,0.819,negative,True
122921385,Negative,0.589,negative,True
122921383,Positive,0.576,positive,True
122921383,Positive,0.691,positive,True
122921383,Positive,0.586,negative,False
122921385,Negative,0.572,negative,True
122921385,Negative,0.808,negative,True
122921384,Neutral,0.404,negative,False
122921384,Neutral,0.797,negative,False
122921385,Negative,0.999,negative,True
122921384,Neutral,0.561,positive,False
122921384,Neutral,0.826,neutral,True
122921383,Positive,0.448,negative,False
122921384,Neutral,0.864,neutral,True
122921385,Negative,0.523,negative,True
122921385,Negative,0.856,neutral,False
122921384,Neutral,0.429,negative,False
122921385,Negative,0.908,negative,True
122921385,Negative,0.994,negative,True
122921384,Neutral,0.84,neutral,True
122921383,Positive,0.665,positive,True
122921383,Positive,0.973,negative,False
122921385,Negative,0.884,positive,False
122921385,Negative,0.661,neutral,False
122921385,Negative,0.991,negative,True
122921385,Negative,0.718,neutral,False
122921385,Negative,0.727,negative,True
122921383,Positive,0.59,negative,False
122921383,Positive,0.86,negative,False
122921384,Neutral,0.775,neutral,True
122921385,Negative,0.48,negative,True
122921385,Negative,0.975,negative,True
122921385,Negative,0.749,negative,True
122921385,Negative,0.765,negative,True
122921384,Neutral,0.62,neutral,True
122921384,Neutral,0.698,positive,False
122921383,Positive,0.514,negative,False
122921383,Positive,0.436,negative,False
122921384,Neutral,0.54,neutral,True
122921383,Positive,0.614,negative,False
122921383,Positive,0.488,neutral,False
122921384,Neutral,0.522,negative,False
122921385,Negative,0.75,positive,False
122921384,Neutral,0.658,positive,False
122921384,Neutral,0.691,negative,False
122921385,Negative,0.96,negative,True
122921384,Neutral,0.759,positive,False
122921385,Negative,0.999,negative,True
122921384,Neutral,0.562,negative,False
122921383,Positive,0.557,negative,False
122921385,Negative,0.499,positive,False
122921383,Positive,0.532,negative,False
122921383,Positive,0.728,neutral,False
122921385,Negative,0.994,negative,True
122921385,Negative,0.527,negative,True
122921384,Neutral,0.511,negative,False
122921385,Negative,0.956,negative,True
122921385,Negative,0.577,positive,False
122921385,Negative,0.772,negative,True
122921384,Neutral,0.663,negative,False
122921384,Neutral,0.881,neutral,True
122921384,Neutral,0.643,positive,False
122921384,Neutral,0.698,neutral,True
122921384,Neutral,0.47,negative,False
122921384,Neutral,0.516,negative,False
122921385,Negative,0.682,negative,True
122921384,Neutral,0.591,negative,False
122921385,Negative,0.918,negative,True
122921384,Neutral,0.682,negative,False
122921385,Negative,0.544,neutral,False
122921384,Neutral,0.9,neutral,True
122921384,Neutral,0.717,negative,False
122921384,Neutral,0.866,negative,False
122921384,Neutral,0.827,neutral,True
122921384,Neutral,0.793,positive,False
122921383,Positive,0.593,negative,False
122921383,Positive,0.708,negative,False
122921384,Neutral,0.602,neutral,True
122921384,Neutral,0.543,negative,False
122921384,Neutral,0.486,positive,False
122921385,Negative,0.727,neutral,False
122921383,Positive,0.678,neutral,False
122921383,Positive,0.89,positive,True
122921384,Neutral,0.742,neutral,True
122921385,Negative,0.724,positive,False
122921384,Neutral,0.782,negative,False
122921384,Neutral,0.635,negative,False
122921384,Neutral,0.677,neutral,True
122921384,Neutral,0.694,negative,False
122921384,Neutral,0.626,neutral,True
122921385,Negative,0.98,negative,True
122921385,Negative,0.813,negative,True
122921384,Neutral,0.529,negative,False
122921384,Neutral,0.676,negative,False
122921385,Negative,0.69,negative,True
122921384,Neutral,0.807,neutral,True
122921384,Neutral,0.853,negative,False
122921385,Negative,0.731,negative,True
122921385,Negative,0.654,negative,True
122921383,Positive,0.735,neutral,False
122921384,Neutral,0.503,negative,False
122921385,Negative,0.892,negative,True
122921383,Positive,0.727,negative,False
122921385,Negative,0.822,negative,True
122921383,Positive,0.932,negative,False
122921384,Neutral,0.642,negative,False
122921385,Negative,0.888,positive,False
122921384,Neutral,0.522,neutral,True
122921383,Positive,0.529,negative,False
122921385,Negative,0.918,negative,True
122921384,Neutral,0.502,negative,False
122921384,Neutral,0.721,negative,False
122921385,Negative,0.928,negative,True
122921383,Positive,0.502,positive,True
122921385,Negative,0.929,negative,True
122921385,Negative,0.854,negative,True
122921383,Positive,0.665,negative,False
122921384,Neutral,0.67,negative,False
122921384,Neutral,0.774,negative,False
122921385,Negative,0.377,positive,False
122921383,Positive,0.93,negative,False
122921385,Negative,0.556,negative,True
122921383,Positive,0.602,negative,False
122921383,Positive,0.659,negative,False
122921385,Negative,0.959,negative,True
122921385,Negative,0.893,negative,True
122921385,Negative,0.559,negative,True
122921385,Negative,0.849,negative,True
122921385,Negative,0.907,positive,False
122921385,Negative,0.973,negative,True
122921384,Neutral,0.823,negative,False
122921384,Neutral,0.523,negative,False
122921385,Negative,0.573,negative,True
122921385,Negative,0.482,neutral,False
122921385,Negative,0.6,neutral,False
122921384,Neutral,0.874,neutral,True
122921384,Neutral,0.491,neutral,True
122921385,Negative,0.562,negative,True
122921385,Negative,0.973,negative,True
122921385,Negative,0.63,negative,True
122921384,Neutral,0.646,positive,False
122921384,Neutral,0.815,neutral,True
122921384,Neutral,0.861,negative,False
122921385,Negative,0.993,negative,True
122921385,Negative,0.816,negative,True
122921385,Negative,0.985,negative,True
122921384,Neutral,0.659,positive,False
122921384,Neutral,0.866,negative,False
122921385,Negative,0.918,negative,True
122921384,Neutral,0.595,neutral,True
122921384,Neutral,0.701,negative,False
122921385,Negative,0.781,neutral,False
122921384,Neutral,0.592,neutral,True
122921385,Negative,0.912,negative,True
122921385,Negative,0.795,negative,True
122921384,Neutral,0.502,negative,False
122921384,Neutral,0.7,negative,False
122921385,Negative,0.959,negative,True
122921385,Negative,0.934,negative,True
122921385,Negative,0.912,negative,True
122921385,Negative,0.731,negative,True
122921383,Positive,0.68,positive,True
122921384,Neutral,0.711,positive,False
122921384,Neutral,0.595,negative,False
